student,question,human_score_0_10,tfidf_cosine_similarity,predicted_score_0_10,absolute_error,signed_error
student_1,Q1,8.5,0.29057188984021404,2.9057188984021405,5.5942811015978595,-5.5942811015978595
student_1,Q2,8.0,0.3324786012291269,3.3247860122912694,4.67521398770873,-4.67521398770873
student_1,Q3,8.5,0.38474426628648606,3.847442662864861,4.652557337135139,-4.652557337135139
student_1,Q4,9.5,0.4466822088197605,4.466822088197605,5.033177911802395,-5.033177911802395
student_2,Q1,8.5,0.21023505622000593,2.1023505622000593,6.397649437799941,-6.397649437799941
student_2,Q2,8.5,0.20435835476092165,2.0435835476092166,6.456416452390783,-6.456416452390783
student_2,Q3,9.0,0.2660017731715833,2.660017731715833,6.339982268284167,-6.339982268284167
student_2,Q4,9.0,0.25902594083782815,2.5902594083782815,6.409740591621718,-6.409740591621718
student_3,Q1,7.5,0.3016486938518755,3.0164869385187547,4.483513061481245,-4.483513061481245
student_3,Q2,9.0,0.3546890219688945,3.546890219688945,5.453109780311054,-5.453109780311054
student_3,Q3,7.5,0.39316796773127605,3.9316796773127605,3.5683203226872395,-3.5683203226872395
student_3,Q4,8.0,0.3082945752071156,3.082945752071156,4.917054247928844,-4.917054247928844
student_4,Q1,7.5,0.3783365271431881,3.7833652714318813,3.7166347285681187,-3.7166347285681187
student_4,Q2,8.0,0.23397833703426307,2.339783370342631,5.660216629657369,-5.660216629657369
student_4,Q3,8.0,0.3692758495737768,3.6927584957377677,4.307241504262232,-4.307241504262232
student_4,Q4,8.5,0.3841115747493168,3.841115747493168,4.658884252506832,-4.658884252506832
student_5,Q1,7.5,0.2649721660688379,2.649721660688379,4.850278339311621,-4.850278339311621
student_5,Q2,8.0,0.2362501072604929,2.362501072604929,5.637498927395071,-5.637498927395071
student_5,Q3,8.0,0.37430289031219566,3.7430289031219566,4.256971096878043,-4.256971096878043
student_5,Q4,9.0,0.4068276364059159,4.068276364059159,4.931723635940841,-4.931723635940841
student_6,Q1,0.0,0.017398178518949602,0.17398178518949603,0.17398178518949603,0.17398178518949603
student_6,Q2,0.0,0.01515725632767696,0.1515725632767696,0.1515725632767696,0.1515725632767696
student_6,Q3,0.0,0.027747166294830292,0.27747166294830294,0.27747166294830294,0.27747166294830294
student_6,Q4,0.0,0.055318781020181416,0.5531878102018142,0.5531878102018142,0.5531878102018142
student_7,Q1,9.5,0.2429730757888526,2.429730757888526,7.070269242111474,-7.070269242111474
student_7,Q2,9.0,0.2668911215737495,2.668911215737495,6.331088784262505,-6.331088784262505
student_7,Q3,9.0,0.2941860091031032,2.941860091031032,6.058139908968968,-6.058139908968968
student_7,Q4,9.5,0.6225901475787011,6.225901475787011,3.274098524212989,-3.274098524212989
